reclat,reclong
47.63,-80.08
28.72,116.62
40.42,-86.88
63.73,14.85
28.87,-97.62
-33.28,136
35.97,-96.77
40.57,-110.48
16,36
36.53,-91.8
20.02,50.93
-23.3,-69.88
48.3,13.94
-33.3,136.02
19.03,51.08
55.2,75.33
25.55,83.12
19.96,51.03
32.4,111.7
30.5,-99.83
38.5,-94.3
32.33,-6.3
19.93,51.22
29.8,-98.8
-28.67,18.92
35.84,-104.59
-30.18,23.27
-33,-58.62
34.1,-97
40.47,-99.5
55.3,25
12,105.48
-3,151
-6.33,106
36.22,-103.4
40.57,-102.3
55.5,66.08
56.63,39.43
34.8,-103.32
34.38,-103.62
42.92,102.47
42.45,-103.3
32.4,-102.58
38.65,-94.33
35.03,-81.88
-30,20
48.6,45.67
42.58,-103.67
32.22,-104
34.45,-104.13
35.95,-104.2
31.42,118.5
34.75,-87
-30.78,-58.05
52.13,59.32
-29.45,26.77
32.73,-103.1
32.73,-103.1
34.45,-104.02
32.25,-97.72
-30.88,-64.55
35.97,-77.97
-19.87,-44.62
49.23,17.57
41.55,-100.97
-17.65,31.6
43.5,-101.25
-26.1,-49.8
39.67,-102.83
34.68,-101.38
28.48,78.5
30.06,-96.65
35.95,-104.2
36.33,-101.4
40.35,-103.95
35.17,-97.88
36.25,-101.22
40.68,-99.07
34.5,-105.83
35.55,-77.53
0.27,36.53
36.05,-94.17
50.32,3.73
13.63,79.42
52.45,78.63
30.95,-98.27
33.75,-100.93
-31,132
-22.33,-69.67
-7.75,111.53
52,19.92
34.5,-107
40.45,-102.38
44.87,133.17
34.9,-101.22
32,-86
38.18,-94.72
23.32,91
34,-105.5
41.18,-104.07
37.2,-116.7
23.15,91.18
41.78,-104.28
35.95,-97.58
39.3,-103.25
-21.73,165.9
35.15,-102.72
37.12,-101.6
47.32,35.37
58.2,82.93
36.33,-104.05
38.72,-103.52
46.37,-101.95
39.13,-103.48
-19.88,-69.83
40.05,-102.2
33.7,-101.93
30.13,-102.15
34.92,-117.83
34.92,-117.83
34.2,-101.5
-28.83,31.95
33.72,-100.83
29.02,-97.28
24.17,0.08
66,-120
37.47,-101.43
34.05,-101.75
35.72,-102.28
34.6,-97.92
34.05,-101.75
20.13,75.5
36.3,-104
45.6,-110.58
39.83,-96.07
37.02,-101.88
35.85,-97.7
36.2,-103.9
36.4,-103.02
19,97
37.47,-105.87
41.42,-99.1
38,-84.17
51.88,71.25
-24.92,120.07
-22.62,135.2
39.53,-103.33
31.05,-99.47
37.48,-102.68
37.38,-102.63
42.03,-101.5
42.45,73.37
36.57,-82.18
39.83,-99.02
36.22,-103.65
40.95,-103.08
39.1,-98.83
41.43,-99.7
33.22,-102.18
32.5,-101
-33.1,-61.13
55.43,53.25
39.7,-98.98
-28.38,116.72
33.13,-5.57
38.03,-101.98
37.55,-101.68
-29.42,-66.85
44,-89.25
46.72,23.5
38.62,-101.63
40.25,-100.23
25.38,72.02
58.4,22.67
-29.03,-53.05
34.8,-103.32
-24.92,119.42
34,-101.5
-33.3,117.67
36.42,-85.25
37.83,-100.45
37.62,-99.1
37.68,-105.7
37.58,-102.77
51.87,70.35
39.37,-103.17
43.8,-96.17
40.47,-103.03
38.07,-102.1
35.57,-100.67
33.6,-101.73
36.8,-108
39.75,-105.2
53.67,88
38.27,-95.25
47.58,37.25
34.53,-101.18
33.23,-103.44
52.45,51.57
39.08,-89.15
40.45,-100.75
35.37,136.77
8.07,124.28
44.22,-98.06
51.15,31.7
-30.63,-64.88
41.98,-120.54
34.03,-95.58
40.48,-89
52.3,77.03
30.83,-97.5
-37.55,-60.15
60.65,27.07
35.93,-91.63
31.8,-92.75
-30.92,118.2
32.9,-105.93
40.33,-102.2
35.77,-102.95
38.15,-102.67
40.93,-79.73
40.32,126.92
34.5,-102.25
-8.42,32.43
26.27,-81.75
38.48,-99.92
35.95,-84.57
36.08,-92.15
33.5,-96.6
36.33,-105.05
38.62,-102.72
31.48,-102.88
38.62,-99.93
-28.92,-66.95
56.03,13
57.63,83.37
32.48,-111.57
29.45,-96
37.45,-98.42
53.67,-113.42
20.88,76.87
40.23,-100.42
29.33,-101.83
39.82,-94.92
37.87,-100.67
45.58,-122.35
49.25,17.67
-7.23,107.33
-35.42,139.75
36.72,-102.5
37.12,-101.6
-15.7,135.67
-7.25,107.7
35.23,-100.6
42.18,-95.72
40.97,-102.4
32,-101.5
37.6,-105.83
21.21,94.92
63.33,148.17
24.17,-99.33
42.92,-104.42
30.07,-96.7
50.83,34
41.23,-103.9
42.52,-82.26
38.08,-96.03
40.15,-103.17
34.83,-118.07
26.45,82.9
39.85,-102.95
29.1,-97.6
36.8,-100.53
38.85,-96.58
-7.75,112.02
37.27,-97.77
38.8,-102.2
40.68,-102.82
30.6,-97.9
37.24,-92.79
22.25,79
19.03,81.89
37.08,-101.77
33.97,-112.73
39.42,-101.05
32.95,-81.86
33.03,-102.33
32.02,-98.7
39.82,-100.2
-35.95,144.52
38.53,-99.05
37.35,-108.68
42.77,-104.35
53.1,7.2
38.23,-99.53
34.35,-101.4
39.25,-101.33
41.43,-96.97
38.35,-101.78
34,-83.17
22.68,90.65
43.8,-117
31.75,-97.75
-25.33,116.18
-24.77,117.7
34.48,-94.45
4.67,29.25
40.92,-78.08
39.3,-102.83
37.08,-101.6
41.23,-103.3
41.05,-102.9
66.4,137.47
-37.98,140.98
-26.17,-49.93
40.52,-101.03
31.43,-100.13
15.72,108.1
-29.92,-60.28
39.3,-102.42
45.5,-103.5
41.03,-102.88
36.2,-102.45
33.85,-101.8
33.43,-101.75
39.8,-84.82
-35.53,-58.77
-33.35,146.86
34.58,-102.17
37.08,-101.6
42.93,-100.75
37.28,-102.2
10.02,9.58
9.53,39.72
37.03,-85.63
-33.12,-60.97
66.35,14.02
37.63,-105.83
-23.83,134.03
4.7,33.63
26.03,81.47
64.88,-163.17
-1.22,30
30.95,-98.28
40.08,-98.92
26.2,85.4
-28.92,136.25
31.27,-100.83
35.88,-99.33
33.43,127.27
31.66,-96.97
40.76,-102.38
-26.17,28.42
-35.1,143.4
37.67,-96.77
49.5,-113
39.5,-112.9
46.23,17.53
37.38,-96.87
11.98,79.75
-29.53,143.98
-29.5,144.07
34.08,-116.02
34.4,-106.85
59.82,17.67
-36.5,142.03
-11.5,33.5
24.7,-99.08
57.82,16.23
34.15,-101.3
26.8,13.58
33.52,-95.3
42.07,-104.17
49.82,-108.46
27.13,8.67
31.48,113.57
-29.23,-61.77
0,37.67
-28.95,148.13
34.32,-96.15
-32.82,134.8
1.7,33.63
-48.58,-67.42
-37.72,-70.62
38.33,-101.71
60,140
-31.49,122.12
34.33,-98.3
40.2,29.23
-32.13,141.03
36.82,-93.76
35.27,-107.97
-26.27,18.18
30.12,-103.12
47.83,30.77
53.2,-111.43
54.33,56.08
35.95,-84.57
39.35,-99.92
44.65,-85.14
39.37,-99.85
40.82,-102.25
40.78,-96.47
-22.47,-42.22
42.48,-5.33
58.85,16.73
33.63,-104.27
46.16,134.65
9.6,9.92
-19.3,127.77
40.8,-99.2
22.83,4.98
31.66,-99.95
