,year,id,recclass,mass (g),fall,reclat,reclong,GeoLocation
1088,1837,30366,H4/5,31650.0,Fell,37.75,139.0,"37.75, 139.0"
340,1837,11207,H5,10500.0,Fell,49.27,18.72,"49.27, 18.72"
5548,1837,5450,"Iron, IAB-MG",960000.0,Found,35.78,-83.25,"35.78, -83.25"
5488,1837,5387,"Iron, IIAB",2100000.0,Found,28.7,-102.73,"28.7, -102.73"
37666,1838,23646,L6,950.0,Found,55.0,35.0,"55.0, 35.0"
434,1838,12222,H5,230.0,Fell,27.25,79.97,"27.25, 79.97"
210,1838,5397,CM2,5200.0,Fell,-33.13,19.38,"-33.13, 19.38"
14,1838,427,H4,1800.0,Fell,29.72,77.95,"29.72, 77.95"
183,1838,5320,L5,8800.0,Fell,20.27,76.02,"20.27, 76.02"
37625,1838,23602,OC,1500.0,Found,54.3,48.4,"54.3, 48.4"
644,1838,16729,L6,500.0,Fell,47.63,1.58,"47.63, 1.58"
32066,1839,18906,"Iron, IVA",32700.0,Found,33.25,-83.25,"33.25, -83.25"
3463,1839,2347,"Iron, IIIAB",800.0,Found,35.58,-82.53,"35.58, -82.53"
546,1839,14664,L5,491.0,Fell,37.92,-92.08,"37.92, -92.08"
37670,1839,23650,"Iron, IVA",5000.0,Found,37.13,-88.4,"37.13, -88.4"
5127,1839,5066,"Iron, IAB-MG",800.0,Found,35.58,-82.35,"35.58, -82.35"
451,1840,12256,LL6,3000.0,Fell,47.22,81.02,"47.22, 81.02"
1028,1840,24103,LL7,710.0,Fell,51.65,5.62,"51.65, 5.62"
22880,1840,15388,"Iron, IAB-MG",150000.0,Found,49.33,19.48,"49.33, 19.48"
178,1840,5308,H5,6460.0,Fell,45.08,8.3,"45.08, 8.3"
5390,1840,5282,"Iron, IIIAB",127000.0,Found,36.27,-85.98,"36.27, -85.98"
1115,1840,8,H,1.2,Found,60.43,22.3,"60.43, 22.3"
37674,1840,23654,"Iron, IAB-MG",70500.0,Found,35.98,-85.85,"35.98, -85.85"
191,1841,5332,L6,30000.0,Fell,47.93,2.92,"47.93, 2.92"
943,1841,23082,L6,5500.0,Fell,46.95,-1.5,"46.95, -1.5"
342,1841,11426,H4,1000.0,Fell,51.93,15.5,"51.93, 15.5"
31989,1841,18803,"Iron, ungrouped",7000.0,Found,53.35,87.18,"53.35, 87.18"
58,1842,4900,L6,2000.0,Fell,44.33,3.23,"44.33, 3.23"
77,1842,4946,Mesosiderite-A1,3200.0,Fell,42.38,-2.5,"42.38, -2.5"
624,1842,16640,L6,10000.0,Fell,46.18,16.1,"46.18, 16.1"
5014,1842,4916,"Iron, ungrouped",6400.0,Found,36.3,-82.88,"36.3, -82.88"
1038,1843,24135,L6,9700.0,Fell,52.12,5.18,"52.12, 5.18"
582,1843,15403,Diogenite,50.0,Fell,20.97,76.1,"20.97, 76.1"
1049,1843,24165,H5,8000.0,Fell,48.42,43.2,"48.42, 43.2"
489,1843,12332,H6,3250.0,Fell,51.6,10.8,"51.6, 10.8"
5092,1843,5027,L6,2250.0,Found,46.75,36.82,"46.75, 36.82"
118,1843,5059,Aubrite,6000.0,Fell,34.17,-80.28,"34.17, -80.28"
294,1844,10078,H5,1500.0,Fell,44.38,2.82,"44.38, 2.82"
484,1844,12309,H6,140.0,Fell,54.67,-7.67,"54.67, -7.67"
214,1844,5451,H5,1200.0,Fell,21.17,-100.87,"21.17, -100.87"
36419,1844,22779,"Iron, IIIAB",53070.0,Found,34.3,-81.4,"34.3, -81.4"
5032,1845,4951,L4,200000.0,Found,-35.3,144.57,"-35.3, 144.57"
532,1845,12749,Howardite,780.0,Fell,48.53,-0.87,"48.53, -0.87"
531,1845,12748,H5,3000.0,Fell,47.17,0.43,"47.17, 0.43"
3472,1846,2351,L5,2700.0,Found,26.0,92.0,"26.0, 92.0"
894,1846,23460,L6,8000.0,Fell,48.12,10.47,"48.12, 10.47"
26367,1846,16949,"Iron, IIE-an",250000.0,Found,54.23,35.15,"54.23, 35.15"
16543,1846,12066,"Iron, IIIAB",450.0,Found,36.42,-85.5,"36.42, -85.5"
642,1846,16726,L5,3130.0,Fell,43.27,13.35,"43.27, 13.35"
6840,1846,6637,"Iron, ungrouped",11500.0,Found,36.5,-79.75,"36.5, -79.75"
167,1846,5260,H6,2300.0,Fell,37.27,-89.58,"37.27, -89.58"
37631,1847,23612,Pallasite?,14180.0,Found,18.32,73.92,"18.32, 73.92"
26321,1847,16877,"Iron, ungrouped",8600.0,Found,35.83,-86.42,"35.83, -86.42"
591,1847,15424,L6,28400.0,Fell,41.9,-91.6,"41.9, -91.6"
37422,1847,23474,"Iron, IAB-MG",102000.0,Found,52.27,15.55,"52.27, 15.55"
141,1847,5133,"Iron, IIAB",39000.0,Fell,50.6,16.3,"50.6, 16.3"
173,1848,5293,L6,94.0,Fell,44.38,-68.75,"44.38, -68.75"
931,1848,23621,L6,850.0,Fell,59.73,10.87,"59.73, 10.87"
239,1848,6699,OC,1800.0,Fell,14.88,75.6,"14.88, 75.6"
